20 0.5
30 1.0
40 -1.5
50 -2.0
60 -3.5
70 -5.5
80 -1.0
90 1.0
100 2.0
110 0.0
120 -1.5
130 0.0
140 2.5
150 5.5
160 4.0
170 2.5
180 1.5
190 4.0
200 3.0
210 -0.5
220 1.5
230 1.0
240 1.0
250 -1.0
260 0.5
270 -1.0
280 -1.5
290 1.0
300 0.0
310 1.5
320 -1.0
330 0.5
340 -1.0
350 1.0
360 4.5
370 2.5
380 0.5
390 -0.5
400 -1.0
410 -1.0
420 0.0
430 -1.0
440 0.0
450 -2.0
460 -3.0
470 -8.0
480 -7.5
490 -7.0
500 -7.0
510 -6.0
520 -7.0
530 -8.0
540 -7.5
550 -5.5
560 -6.0
570 -4.0
580 -4.0
590 -2.0
600 -1.5
610 -1.0
620 -1.0
630 -6.0
640 -6.0
650 -9.0
660 -8.0
670 -7.0
680 -5.5
690 -5.0
700 -3.5
710 -2.0
720 -2.5
730 -2.5
740 -2.0
750 0.0
760 -1.0
770 -3.5
780 -3.5
790 -3.0
800 -5.5
810 -7.0
820 -6.5
830 -6.0
840 -5.0
850 -6.5
860 -2.0
870 -3.0
880 -5.5
890 -5.0
900 -5.5
910 -4.0
920 -3.0
930 -5.0
940 -2.5
950 -2.5
960 -6.0
970 -5.5
980 -8.0
990 -6.0
1000 -5.0
